"filename", "language", "Python", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\anton\Desktop\compiler_sheesh\README.md", "Markdown", 0, 0, 28, 0, 17, 45
"c:\Users\anton\Desktop\compiler_sheesh\compiler_sheesh.cfg", "Properties", 0, 13, 0, 0, 1, 14
"c:\Users\anton\Desktop\compiler_sheesh\setup.py", "Python", 2, 0, 0, 0, 0, 2
"c:\Users\anton\Desktop\compiler_sheesh\source\LexicalAnalyzer\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\source\LexicalAnalyzer\lexerpy.py", "Python", 120, 0, 0, 18, 21, 159
"c:\Users\anton\Desktop\compiler_sheesh\source\LexicalAnalyzer\prepare.py", "Python", 253, 0, 0, 41, 48, 342
"c:\Users\anton\Desktop\compiler_sheesh\source\LexicalAnalyzer\tokenclass.py", "Python", 159, 0, 0, 10, 28, 197
"c:\Users\anton\Desktop\compiler_sheesh\source\SemanticAnalyzer\Semantisizer.py", "Python", 41, 0, 0, 3, 11, 55
"c:\Users\anton\Desktop\compiler_sheesh\source\Sheesh# Compiler.py", "Python", 287, 0, 0, 28, 76, 391
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\MainParser.py", "Python", 2514, 0, 0, 68, 316, 2898
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\fsp.py", "Python", 296, 0, 0, 0, 33, 329
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\grammar.py", "Python", 355, 0, 0, 44, 55, 454
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\newparser.py", "Python", 5, 0, 0, 0, 1, 6
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\parser1.py", "Python", 50, 0, 0, 1, 10, 61
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\parser2.py", "Python", 2123, 0, 0, 51, 282, 2456
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\parser3.py", "Python", 342, 0, 0, 106, 94, 542
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\parser_sheesh.py", "Python", 1205, 0, 0, 88, 595, 1888
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\random.py", "Python", 50, 0, 0, 0, 1, 51
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\syntax_analyzer.py", "Python", 76, 0, 0, 38, 24, 138
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\test_grammar.py", "Python", 155, 0, 0, 86, 57, 298
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\test_parser2.py", "Python", 13, 0, 0, 4, 7, 24
"c:\Users\anton\Desktop\compiler_sheesh\source\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\source\core\CodeGeneration\CodeGen.py", "Python", 2, 0, 0, 0, 0, 2
"c:\Users\anton\Desktop\compiler_sheesh\source\core\CodeGeneration\CodeOptimizer.py", "Python", 2, 0, 0, 0, 2, 4
"c:\Users\anton\Desktop\compiler_sheesh\source\core\CodeGeneration\IntermediateCodeGen.py", "Python", 2, 0, 0, 0, 5, 7
"c:\Users\anton\Desktop\compiler_sheesh\source\core\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\source\core\constants.py", "Python", 165, 0, 0, 7, 14, 186
"c:\Users\anton\Desktop\compiler_sheesh\source\core\error_handler.py", "Python", 384, 0, 0, 11, 34, 429
"c:\Users\anton\Desktop\compiler_sheesh\source\core\error_types.py", "Python", 13, 0, 0, 4, 5, 22
"c:\Users\anton\Desktop\compiler_sheesh\source\core\symbol_table.py", "Python", 13, 0, 0, 0, 7, 20
"c:\Users\anton\Desktop\compiler_sheesh\source\helper.py", "Python", 9, 0, 0, 1, 5, 15
"Total", "-", 8636, 13, 28, 609, 1753, 11039
